Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
B07_2022_007,53758,36.95164,42.61817,0.3,0.5,0.4,2022-09-25T00:00,7.23,24.62,0.12,<0.05,3.73,0.78,189.0,4.05,16.58,13.05,12.42,46.09,8.1,31.7,4.6,44.4,6.0,3.8,9.8,54.2,100.29,0.16,1.29978,0.240907128,0.096246576,0.144660552,1.9733027295520142,8.726640000000002,2.351530612244898,Non-saline
B07_2022_008,53761,37.06409,42.58075,0.0,0.1,0.05,2022-09-13T00:00,7.12,33.36,0.22,<0.05,6.86,2.86,344.0,4.86,4.71,2.91,7.55,20.03,15.8,19.6,15.8,51.2,14.4,14.3,28.7,79.9,99.93,0.11,1.0,0.46828613599999996,0.24740411199999998,0.22088202399999998,0.7269653590961525,29.707279999999997,0.3489547038327526,Non-saline
B07_2022_014,53787,37.01728,42.69923,0.0,0.1,0.05,2022-08-23T00:00,6.97,26.0,0.10,<0.05,4.11,0.99,274.0,1.5,2.54,0.88,1.42,6.33,4.1,13.2,22.9,40.2,16.7,36.6,53.3,93.5,99.83,0.04,1.04445,0.487852124,0.25,0.237852124,0.3464764465371798,20.84552,0.1,Non-saline
B07_2022_016,53801,36.9184,42.59191,0.7,1.0,0.85,2022-09-24T00:00,7.06,34.4,0.03,<0.05,4.39,0.26,206.0,0.33,5.72,6.81,15.08,27.94,26.7,9.7,7.8,44.2,8.0,19.0,27.0,71.2,99.14,0.07,1.3574199999999998,0.31232237599999996,0.16808219200000002,0.14424018399999994,0.9274995693101301,8.929079999999999,0.5174074074074074,Non-saline
B07_2022_017,53802,36.8979,42.5138,0.0,0.1,0.05,2022-09-04T00:00,7.22,29.02,0.07,0.07,4.38,0.9,827.0,0.21,0.27,0.42,19.57,20.47,28.6,19.5,12.2,60.3,7.5,12.0,19.5,79.8,100.27,0.04,1.2236000000000002,0.33325284,0.14801528,0.18523756,0.8427014023173779,12.286200000000001,0.5248717948717948,Non-saline
B07_2022_018,53807,36.8234,42.75568,0.0,0.1,0.05,2022-08-22T00:00,7.12,30.36,0.09,<0.05,4.55,0.9,273.0,3.92,1.73,1.17,1.46,8.28,5.0,14.9,25.6,45.5,17.6,28.3,45.9,91.4,99.68,0.07,1.10216,0.45267283999999997,0.25,0.20267283999999997,0.40778731924744693,19.008000000000003,0.1,Non-saline
B07_2022_019,53814,36.80041,42.7245,0.3,0.5,0.4,2022-08-22T00:00,7.32,45.61,0.04,<0.05,5.86,0.39,102.0,0.08,0.46,0.46,1.71,2.71,10.1,28.1,22.9,61.1,10.5,25.0,35.5,96.6,99.31,0.01,1.28413,0.400083564,0.214123288,0.185960276,0.407524493780796,13.036620000000001,0.1,Non-saline
B07_2022_020,53817,37.02227,42.5499,0.0,0.1,0.05,2022-08-28T00:00,7.07,28.99,0.09,<0.05,4.15,0.67,243.0,1.15,1.18,0.54,1.21,4.08,7.8,26.5,16.2,50.5,28.4,16.0,44.4,94.9,98.98,0.03,1.16955,0.44381689199999996,0.25,0.19381689199999996,0.3712220088895658,16.60866,0.1,Non-saline
B07_2022_022,53827,37.03972,42.58633,0.0,0.1,0.05,2022-09-03T00:00,7.14,35.11,0.16,<0.05,6.07,1.86,274.0,4.88,4.5,2.67,5.35,17.41,8.8,16.1,20.3,45.2,14.6,22.4,37.0,82.2,99.61,0.1,1.0,0.451858536,0.25,0.20185853599999998,0.5983478248844003,24.197879999999998,0.23527027027027028,Non-saline
B07_2022_027,53853,37.04941,42.57156,0.7,1.0,0.85,2022-09-03T00:00,7.11,30.58,0.07,<0.05,4.4,0.73,208.0,1.57,2.23,1.14,2.1,7.04,4.1,13.9,23.3,41.3,16.1,35.3,51.4,92.7,99.74,0.04,1.1215700000000002,0.46618974799999996,0.25,0.21618974799999996,0.36337388872897575,19.078740000000003,0.1,Non-saline
